#Scan#	pepmass	query_validation
18809	297.1333	HexAcid
18853	297.1332	HexAcid
18872	297.1332	HexAcid
19859	297.1332	HexAcid
19958	297.1334	HexAcid
20589	297.1335	HexAcid
20593	297.1336	HexAcid
20616	297.1333	HexAcid
20619	297.1335	HexAcid
20628	297.1334	HexAcid
20633	297.1334	HexAcid
20718	297.1334	HexAcid
21096	297.1336	HexAcid
56759	702.5511	HexAcid
57113	702.5514	HexAcid
64214	676.4996	HexAcid
65687	819.5593	HexAcid
14187	469.2799	Hexose
14188	487.2905	Hexose
14460	469.2793	Hexose
15067	503.2849	Hexose
15162	471.2957	Hexose
15440	543.2784	Hexose
15620	471.2957	Hexose
15798	489.3058	Hexose
15990	513.3064	Hexose
16030	487.2907	Hexose
16079	503.2852	Hexose
16212	513.3065	Hexose
16237	487.2907	Hexose
16433	471.2954	Hexose
16657	505.301	Hexose
16707	505.301	Hexose
16828	471.2954	Hexose
16936	489.3062	Hexose
16965	489.3059	Hexose
17535	267.1225	Hexose
17864	363.1646	Hexose
18025	505.3012	Hexose
18041	505.3008	Hexose
18055	505.3008	Hexose
18118	505.301	Hexose
18147	505.3006	Hexose
18358	361.2003	Hexose
18407	505.3011	Hexose
18476	505.301	Hexose
18489	505.3009	Hexose
18548	505.3006	Hexose
18575	505.3009	Hexose
18793	507.3171	Hexose
19231	325.2007	Hexose
19741	673.34	Hexose
21225	469.2794	Hexose
21546	281.1384	Hexose
21557	281.1385	Hexose
21567	281.1381	Hexose
21579	281.1383	Hexose
21585	281.1382	Hexose
21591	281.1384	Hexose
21598	281.1384	Hexose
21611	281.1383	Hexose
21628	281.1384	Hexose
21636	281.1381	Hexose
21638	281.1383	Hexose
21718	281.1383	Hexose
21735	281.1383	Hexose
21749	281.1383	Hexose
21759	281.1384	Hexose
21789	281.1384	Hexose
21851	281.1385	Hexose
21874	281.1384	Hexose
21900	281.1384	Hexose
21906	281.1383	Hexose
21968	281.1385	Hexose
22207	675.3561	Hexose
23862	471.2956	Hexose
24660	489.306	Hexose
24682	489.3059	Hexose
24736	489.3055	Hexose
24748	489.3058	Hexose
24750	489.3059	Hexose
24778	489.3059	Hexose
24818	489.3059	Hexose
24829	471.295	Hexose
24863	489.3059	Hexose
24962	489.3059	Hexose
27791	473.3109	Hexose
29126	399.2738	Hexose
29269	491.3215	Hexose
29393	491.3216	Hexose
29484	491.3215	Hexose
29521	473.3109	Hexose
29666	491.3217	Hexose
29720	491.3214	Hexose
30089	491.3215	Hexose
30189	491.3214	Hexose
30244	473.3109	Hexose
30312	491.3216	Hexose
30366	491.3211	Hexose
30452	473.3111	Hexose
34295	493.3373	Hexose
34402	493.3373	Hexose
35884	493.3375	Hexose
35956	493.3378	Hexose
35974	473.3112	Hexose
35998	493.3374	Hexose
36005	493.3373	Hexose
36067	493.3376	Hexose
36105	493.3372	Hexose
38171	473.3112	Hexose
38278	519.3529	Hexose
38359	501.3426	Hexose
38406	519.353	Hexose
38432	519.3531	Hexose
39851	473.3114	Hexose
42661	723.5042	Hexose
45604	739.4988	Hexose
53080	729.5497	Hexose
54834	1010.8211	Hexose
55116	739.4992	Hexose
56258	729.5503	Hexose
60630	741.5146	Hexose
64434	677.297	Hexose
64599	741.5143	Hexose
65219	677.2968	Hexose
65834	753.549	Hexose
20610	427.0668	Mycaminose
33732	329.209	Mycaminose
8822	374.229	Mycaminose
9425	374.2286	Mycaminose
9425	374.2286	N-Hexose (HexN)
8822	374.229	N-Hexose Acid (HexNAc)
9425	374.2286	N-Hexose Acid (HexNAc)
15438	241.1436	Pentose
15472	241.1432	Pentose
16306	272.1856	Pentose
18366	316.212	Pentose
18779	316.2118	Pentose
19588	229.1432	Pentose
24153	272.1857	Pentose
26265	272.1859	Pentose
52866	623.2497	Pentose
5760	268.1042	Pentose
58711	272.1856	Pentose
58713	316.2117	Pentose
58944	272.1857	Pentose
5936	268.1041	Pentose
6234	268.1042	Pentose
64434	677.297	Pentose
6454	268.1042	Pentose
6485	268.104	Pentose
6733	268.1043	Pentose
6788	268.1041	Pentose
6955	268.1042	Pentose
7127	268.1043	Pentose
7186	261.1447	Pentose
7875	316.212	Pentose
18800	297.1334	Uronic acids
18809	297.1333	Uronic acids
18853	297.1332	Uronic acids
18872	297.1332	Uronic acids
19859	297.1332	Uronic acids
19958	297.1334	Uronic acids
20589	297.1335	Uronic acids
20593	297.1336	Uronic acids
